Timestamp,Open,High,Low,Close
,NVDA,NVDA,NVDA,NVDA
1604275200,12.62,12.80,12.36,12.54
1604361600,12.67,13.07,12.56,12.98
1604448000,13.35,13.79,13.30,13.75
1604534400,14.12,14.30,13.95,14.12
1604620800,14.07,14.54,13.85,14.52
1604880000,14.51,14.65,13.57,13.59
1604966400,13.57,13.57,12.59,12.73
1605052800,13.01,13.39,12.91,13.38
1605139200,13.44,13.72,13.28,13.42
1605225600,13.59,13.63,13.02,13.26
1605484800,13.13,13.61,13.12,13.47
1605571200,13.51,13.55,13.26,13.38
1605657600,13.42,13.56,13.14,13.39
1605744000,13.17,13.45,13.06,13.40
1605830400,13.41,13.45,13.03,13.05
1606089600,13.13,13.34,12.98,13.10
1606176000,13.10,13.12,12.85,12.92
1606262400,12.99,13.23,12.98,13.19
1606435200,13.33,13.37,13.13,13.22
1606694400,13.22,13.37,12.93,13.36
1606780800,13.45,13.49,13.19,13.35
1606867200,13.31,13.63,13.19,13.50
1606953600,13.55,13.62,13.29,13.36
1607040000,13.41,13.52,13.35,13.52
1607299200,13.56,13.69,13.46,13.57
1607385600,13.55,13.56,13.24,13.31
1607472000,13.26,13.38,12.83,12.90
1607558400,12.83,13.03,12.81,12.94
1607644800,12.93,12.98,12.79,12.98
1607904000,13.05,13.35,13.04,13.27
1607990400,13.40,13.43,13.15,13.32
1608076800,13.39,13.40,13.18,13.21
1608163200,13.33,13.34,13.14,13.30
1608249600,13.34,13.37,13.03,13.24
1608508800,13.04,13.33,12.93,13.30
1608595200,13.28,13.30,13.02,13.24
1608681600,13.22,13.24,12.97,12.97
1608768000,13.00,13.10,12.90,12.96
1609113600,13.03,13.03,12.73,12.86
1609200000,12.89,13.04,12.81,12.91
1609286400,12.95,13.18,12.86,13.11
1609372800,13.10,13.11,12.88,13.02
1609718400,13.07,13.61,12.93,13.08
1609804800,13.06,13.41,13.05,13.37
1609891200,13.19,13.21,12.55,12.58
1609977600,12.93,13.34,12.85,13.31
1610064000,13.33,13.38,13.01,13.24
1610323200,13.38,13.92,13.33,13.58
1610409600,13.71,13.72,13.31,13.45
1610496000,13.45,13.59,13.35,13.49
1610582400,13.54,13.56,13.14,13.16
1610668800,13.19,13.29,12.81,12.82
1611014400,12.98,13.06,12.81,12.99
1611100800,13.08,13.39,13.02,13.33
1611187200,13.38,13.96,13.22,13.83
1611273600,13.70,13.80,13.59,13.67
1611532800,13.74,13.79,13.20,13.62
1611619200,13.54,13.61,13.35,13.40
1611705600,13.19,13.20,12.76,12.88
1611792000,12.96,13.30,12.92,13.02
1611878400,13.04,13.30,12.88,12.95
1612137600,13.02,13.23,12.87,13.20
1612224000,13.36,13.53,13.25,13.52
1612310400,13.60,13.89,13.48,13.49
1612396800,13.49,13.64,13.30,13.63
1612483200,13.69,13.70,13.51,13.55
1612742400,13.69,14.43,13.69,14.40
1612828800,14.30,14.54,14.18,14.22
1612915200,14.42,14.86,14.30,14.72
1613001600,14.94,15.23,14.88,15.21
1613088000,15.01,15.25,14.73,14.92
1613433600,15.02,15.33,14.91,15.29
1613520000,15.13,15.18,14.74,14.87
1613606400,14.69,14.83,14.53,14.79
1613692800,14.98,15.14,14.81,14.89
1613952000,14.73,15.09,14.29,14.32
1614038400,14.04,14.20,13.35,14.10
1614124800,14.08,14.47,13.72,14.46
1614211200,14.01,14.34,13.18,13.27
1614297600,13.71,13.82,13.32,13.68
1614556800,13.84,13.89,13.52,13.80
1614643200,13.86,13.88,13.36,13.37
1614729600,13.39,13.41,12.76,12.77
1614816000,12.77,12.94,12.05,12.34
1614902400,12.52,12.52,11.65,12.43
1615161600,12.42,12.44,11.53,11.56
1615248000,12.10,12.59,12.03,12.49
1615334400,12.81,12.95,12.43,12.44
1615420800,12.92,13.01,12.70,12.96
1615507200,12.62,12.86,12.56,12.83
1615766400,12.83,13.17,12.74,13.16
1615852800,13.32,13.48,13.09,13.26
1615939200,13.01,13.42,12.96,13.31
1616025600,13.10,13.15,12.69,12.69
1616112000,12.72,12.89,12.58,12.81
1616371200,12.88,13.36,12.88,13.15
1616457600,13.22,13.31,12.99,13.04
1616544000,13.12,13.13,12.61,12.61
1616630400,12.47,12.68,12.24,12.51
1616716800,12.52,12.83,12.34,12.81
1616976000,12.79,13.03,12.67,12.92
1617062400,12.81,12.94,12.67,12.84
1617148800,12.98,13.44,12.95,13.32
1617235200,13.54,13.84,13.48,13.78
1617580800,13.83,13.98,13.70,13.95
1617667200,13.97,14.02,13.74,13.83
1617753600,13.85,14.21,13.68,14.11
1617840000,14.22,14.44,14.21,14.28
1617926400,14.18,14.37,14.14,14.37
1618185600,14.26,15.32,14.11,15.17
1618272000,15.19,15.66,15.09,15.64
1618358400,15.59,15.68,15.19,15.24
1618444800,15.62,16.18,15.59,16.10
1618531200,16.01,16.13,15.83,15.87
1618790400,15.50,15.77,15.20,15.32
1618876800,15.29,15.46,14.93,15.13
1618963200,15.08,15.33,15.07,15.32
1619049600,15.34,15.40,14.75,14.81
1619136000,14.90,15.30,14.86,15.23
1619395200,15.15,15.44,15.09,15.44
1619481600,15.54,15.63,15.32,15.34
1619568000,15.33,15.49,15.18,15.24
1619654400,15.36,15.40,15.04,15.29
1619740800,15.14,15.33,14.96,14.97
1620000000,15.09,15.21,14.75,14.80
1620086400,14.60,14.60,13.98,14.32
1620172800,14.67,14.78,14.35,14.42
1620259200,14.46,14.54,14.18,14.49
1620345600,14.77,14.93,14.64,14.78
1620604800,14.75,14.77,14.22,14.23
1620691200,13.79,14.32,13.72,14.27
1620777600,13.98,14.23,13.68,13.73
1620864000,14.00,14.05,13.43,13.63
1620950400,13.86,14.29,13.72,14.21
1621209600,14.12,14.14,13.82,14.13
1621296000,14.23,14.37,13.97,13.98
1621382400,13.53,14.05,13.51,14.03
1621468800,14.27,14.65,14.24,14.58
1621555200,15.13,15.19,14.83,14.96
1621814400,15.18,15.71,15.14,15.57
1621900800,15.73,15.78,15.45,15.61
1621987200,15.70,15.76,15.55,15.66
1622073600,15.66,15.71,15.42,15.45
1622160000,15.46,16.24,15.46,16.21
1622505600,16.23,16.35,15.87,16.23
1622592000,16.21,16.88,16.20,16.74
1622678400,16.66,17.22,16.54,16.93
1622764800,17.07,17.62,17.05,17.54
1623024000,17.53,17.77,17.15,17.58
1623110400,17.49,17.58,17.21,17.42
1623196800,17.48,17.54,17.22,17.32
1623283200,17.31,17.45,17.14,17.39
1623369600,17.44,17.90,17.41,17.79
1623628800,17.87,18.00,17.62,17.98
1623715200,17.88,17.98,17.69,17.75
1623801600,17.75,17.92,17.55,17.77
1623888000,17.74,18.79,17.72,18.62
1623974400,18.74,19.33,18.54,18.60
1624233600,18.40,18.50,17.78,18.39
1624320000,18.43,18.92,18.35,18.85
1624406400,18.97,19.11,18.87,19.02
1624492800,19.19,19.38,19.05,19.16
1624579200,19.24,19.30,18.85,18.99
1624838400,19.32,20.04,19.28,19.94
1624924800,19.84,20.06,19.61,19.98
1625011200,19.96,20.12,19.82,19.96
1625097600,20.08,20.41,19.98,20.17
1625184000,20.40,20.46,20.24,20.44
1625529600,20.69,20.80,20.31,20.65
1625616000,20.81,20.83,20.29,20.33
1625702400,19.81,20.09,19.66,19.86
1625788800,19.92,20.04,19.71,20.01
1626048000,20.20,20.49,20.14,20.47
1626134400,20.36,20.42,20.07,20.21
1626220800,20.31,20.37,19.71,19.80
1626307200,19.77,19.80,18.82,18.92
1626393600,18.99,19.12,18.03,18.12
1626652800,17.88,19.00,17.83,18.74
1626739200,18.69,18.80,18.12,18.57
1626825600,18.84,19.48,18.70,19.37
1626912000,19.60,19.84,19.23,19.55
1626998400,19.61,19.66,19.21,19.52
1627257600,19.27,19.40,18.87,19.25
1627344000,19.22,19.58,18.70,19.17
1627430400,19.28,19.60,18.95,19.46
1627516800,19.48,19.81,19.29,19.62
1627603200,19.38,19.59,19.22,19.46
1627862400,19.66,19.92,19.32,19.71
1627948800,19.70,20.18,19.18,19.77
1628035200,19.95,20.27,19.78,20.23
1628121600,20.46,20.69,20.30,20.59
1628208000,20.48,20.53,20.17,20.32
1628467200,20.40,20.46,20.10,20.25
1628553600,20.28,20.39,19.79,19.89
1628640000,20.00,20.01,19.39,19.66
1628726400,19.83,19.99,19.58,19.86
1628812800,19.86,20.17,19.81,20.14
1629072000,20.09,20.24,19.41,19.91
1629158400,19.64,19.73,19.23,19.42
1629244800,19.46,19.59,18.96,19.00
1629331200,19.45,20.45,18.72,19.75
1629417600,19.95,20.82,19.89,20.77
1629676800,20.93,21.95,20.90,21.91
1629763200,21.71,21.91,21.49,21.75
1629849600,21.69,22.42,21.67,22.16
1629936000,22.15,22.29,21.74,22.02
1630022400,22.14,22.67,22.12,22.59
1630281600,22.78,22.99,22.50,22.64
1630368000,22.65,22.65,22.08,22.34
1630454400,22.44,22.65,22.31,22.40
1630540800,22.47,22.55,22.25,22.35
1630627200,22.28,22.94,22.16,22.80
1630972800,22.79,22.85,22.48,22.62
1631059200,22.47,22.56,21.93,22.29
1631145600,22.27,22.49,22.09,22.13
1631232000,22.30,22.58,22.23,22.43
1631491200,22.64,22.92,21.81,22.11
1631577600,22.23,22.37,22.04,22.20
1631664000,22.26,22.32,21.92,22.30
1631750400,22.14,22.23,21.88,22.20
1631836800,22.26,22.28,21.79,21.86
1632096000,21.10,21.39,20.62,21.07
1632182400,21.37,21.38,20.91,21.20
1632268800,21.32,21.92,21.15,21.90
1632355200,22.10,22.49,21.85,22.44
1632441600,22.03,22.10,21.82,22.04
1632700800,21.67,21.76,21.28,21.62
1632787200,21.17,21.38,20.61,20.66
1632873600,20.90,20.97,20.43,20.48
1632960000,20.73,21.02,20.65,20.67
1633046400,20.71,20.82,20.16,20.70
1633305600,20.46,20.50,19.52,19.69
1633392000,19.91,20.61,19.81,20.41
1633478400,20.08,20.68,20.04,20.66
1633564800,21.05,21.28,20.93,21.03
1633651200,21.06,21.16,20.73,20.79
1633910400,20.53,21.02,20.47,20.65
1633996800,20.79,21.01,20.49,20.63
1634083200,20.88,20.95,20.67,20.90
1634169600,21.25,21.71,21.08,21.70
1634256000,21.77,21.89,21.62,21.82
1634515200,21.71,22.25,21.60,22.18
1634601600,22.23,22.33,21.99,22.25
1634688000,22.26,22.39,21.94,22.06
1634774400,22.05,22.67,22.04,22.65
1634860800,22.78,23.08,22.52,22.68
1635120000,22.93,23.31,22.72,23.12
1635206400,23.94,25.21,23.88,24.67
1635292800,24.43,25.04,24.23,24.40
1635379200,24.83,24.90,24.47,24.89
1635465600,24.95,25.66,24.95,25.52
1635724800,25.60,25.84,25.18,25.78
1635811200,25.77,26.62,25.75,26.35
1635897600,26.62,26.73,26.18,26.54
1635984000,27.17,31.30,27.06,29.74
1636070400,30.13,31.34,29.35,29.69
1636329600,30.09,31.04,29.85,30.74
1636416000,32.22,32.25,29.90,30.60
1636502400,29.30,30.79,28.72,29.40
1636588800,30.41,30.53,29.72,30.33
1636675200,29.95,30.62,29.57,30.33
1636934400,30.49,30.58,29.19,29.96
1637020800,29.70,30.33,29.65,30.14
1637107200,30.36,30.45,28.74,29.20
1637193600,32.30,32.69,31.26,31.61
1637280000,32.18,33.02,31.84,32.92
1637539200,33.45,34.58,31.84,31.89
